"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"KYLE CLIFFORD","","L","32","L","TOR","2","0","1","1","0.50","1","41","0","0","00:00","0.0","07:55","2","1","2","1","$0.75M","$0.76M","$0.76M"
"JAKE MUZZIN","","D","34","L","TOR","4","0","1","1","0.25","1","21","0","0","00:01","0.1","16:43","8","0","2","1","$4.00M","$5.63M","$5.63M"
"TYLER ANGLE","","C","23","L","CBJ","2","1","0","1","0.50","1","41","0","0","00:00","0.0","11:29","5","-2","0","1","$0.84M","$0.85M","$0.93M"
"MIKAEL PYYHTIA","","L","21","L","CBJ","2","0","1","1","0.50","1","41","0","1","01:34","31.6","13:32","2","-2","2","2","$0.84M","$0.90M","$0.93M"
"KRISTIAN REICHEL","","R","25","R","WPG","2","0","1","1","0.50","1","41","0","0","00:00","0.0","10:34","1","0","0","1","$0.78M","$0.78M","$0.78M"
"DOMINIC TONINATO","","L","29","L","WPG","5","0","1","1","0.20","1","16","0","0","00:04","1.3","07:56","7","0","2","2","$0.75M","$0.75M","$0.75M"
"CALE FLEURY","","D","24","R","SEA","12","0","1","1","0.08","1","7","0","0","00:05","1.5","13:19","10","0","2","2","$0.75M","$0.75M","$0.75M"
"ANDY ANDREOFF","","L","32","L","","3","0","1","1","0.33","28","27","0","0","00:24","11.2","07:20","1","-3","0","1","$0.75M","$0.76M","$0.76M"
"NIKOLAI KNYZHOV","","D","25","L","S.J","12","1","0","1","0.08","1","7","0","0","00:00","0.0","16:09","10","-13","8","2","$0.85M","$0.85M","$0.85M"
"WILLIAM BITTEN","","R","25","R","STL","4","0","1","1","0.25","1","21","0","0","00:00","0.0","06:39","0","1","0","1","$0.75M","$0.76M","$0.76M"
"CONNOR CARRICK","","D","29","R","SEA","1","0","1","1","1.00","1","82","0","0","00:15","18.5","16:54","2","3","0","1","$0.75M","$0.75M","$0.75M"
"MATTHEW KNIES","","L","21","L","TOR","3","0","1","1","0.33","1","27","0","0","00:59","31.2","13:07","4","1","2","2","$0.93M","$0.93M","$0.93M"
"COLE KOEPKE","","L","25","L","T.B","17","1","0","1","0.06","1","5","0","0","00:00","0.1","09:06","12","-5","2","1","$0.84M","$0.84M","$0.93M"
"KEVIN GRAVEL","","D","31","L","NSH","23","0","1","1","0.04","1","4","0","0","00:00","0.0","14:16","20","-10","4","1","$0.75M","$0.76M","$0.76M"
"DAMIEN GIROUX","","C","23","L","","1","0","1","1","1.00","83","82","0","0","00:05","4.2","13:57","0","0","2","0","$0.84M","$0.82M","$0.85M"
"SAM POULIN","","L","22","L","PIT","3","0","1","1","0.33","1","27","0","1","01:11","16.9","09:58","2","-3","2","1","$0.83M","$0.86M","$0.86M"
"BOBBY MCMANN","","R","27","L","TOR","10","0","1","1","0.10","1","8","0","0","00:11","3.9","10:34","18","-2","2","1","$0.75M","$0.76M","$0.76M"
"NOLAN FOOTE","","L","22","L","N.J","6","1","0","1","0.17","1","14","0","0","00:00","0.1","07:13","4","2","0","1","$0.83M","$0.86M","$0.86M"
"MIKE REILLY","","D","30","L","FLA","10","0","1","1","0.10","1","8","0","0","01:02","17.4","16:44","12","0","2","1","$3.00M","$3.00M","$3.00M"
"OLLE LYCKSELL","","R","24","L","PHI","8","0","1","1","0.13","1","10","0","0","00:00","0.0","10:34","5","-3","8","2","$0.84M","$0.84M","$0.88M"
"MATEJ BLUMEL","","L","23","L","DAL","6","1","0","1","0.17","1","14","0","0","00:10","4.5","09:42","7","-2","0","1","$0.93M","$0.93M","$0.93M"
"LAURENT DAUPHIN","","C","28","L","","21","1","0","1","0.05","5","4","0","0","00:02","0.6","10:28","25","-4","10","0","$0.75M","$0.75M","$0.75M"
"MARK BOROWIECKI","","D","34","L","","4","0","0","0","0.00","0","0","0","0","00:00","0.0","09:56","1","0","12","0","$0.90M","$0.90M","$0.90M"
"JACOB LARSSON","","D","26","L","OTT","7","0","0","0","0.00","0","0","0","0","00:00","0.0","11:59","4","1","6","1","$0.75M","$0.75M","$0.75M"
"DAKOTA MERMIS","","D","29","L","MIN","2","0","0","0","0.00","0","0","0","0","00:00","0.0","14:28","1","-1","0","1","$0.75M","$0.75M","$0.75M"
"FREDERIC ALLARD","","D","25","R","","3","0","0","0","0.00","0","0","0","0","00:00","0.0","13:51","6","2","0","0","$0.75M","$0.75M","$0.75M"
"BOKONDJI IMAMA","","L","27","L","OTT","5","0","0","0","0.00","0","0","0","0","00:00","0.0","07:29","0","-2","5","1","$0.75M","$0.75M","$0.75M"
"OSKAR OLAUSSON","","R","20","L","COL","1","0","0","0","0.00","0","0","0","0","00:00","0.0","07:02","0","0","0","3","0","$0.89M","$0.89M"
"NOAH JUULSEN","","D","26","R","VAN","12","0","0","0","0.00","0","0","0","0","00:00","0.0","14:58","5","1","6","2","$0.75M","$0.75M","$0.75M"
"ALEX BARRE-BOULET","","R","26","L","T.B","1","0","0","0","0.00","0","0","0","0","00:00","0.0","10:01","1","0","0","1","$0.75M","$0.76M","$0.76M"
"LIAS ANDERSSON","","C","25","L","MTL","1","0","0","0","0.00","0","0","0","0","00:00","0.0","08:37","1","-1","0","1","$0.75M","$0.75M","$0.75M"
"JEAN-LUC FOUDY","","C","21","R","COL","9","0","0","0","0.00","0","0","0","0","00:46","13.6","10:02","12","-3","6","2","$0.84M","$0.85M","$0.89M"
"DYSIN MAYO","","D","27","R","VGK","15","0","0","0","0.00","0","0","0","0","00:04","1.1","11:42","7","-8","8","2","$0.85M","$0.95M","$0.95M"
"COLE BARDREAU","","C","30","R","","1","0","0","0","0.00","0","0","0","0","00:00","0.0","06:37","0","0","2","0","$0.75M","$0.75M","$0.75M"
"RONNIE ATTARD","","D","24","R","PHI","2","0","0","0","0.00","0","0","0","0","01:53","37.7","16:45","5","0","0","2","$0.93M","$0.88M","$1.35M"
"JASON DEMERS","","D","35","R","","1","0","0","0","0.00","0","0","0","0","00:00","0.0","10:44","1","-1","0","0","$0.75M","$0.75M","$0.75M"
"TRISTEN ROBINS","","R","21","R","S.J","3","0","0","0","0.00","0","0","0","0","01:00","16.2","13:43","2","-1","0","2","$0.84M","$0.80M","$0.86M"
"ADAM GINNING","","D","23","L","PHI","1","0","0","0","0.00","0","0","0","0","00:00","0.0","16:40","0","0","2","1","$0.84M","$0.88M","$0.93M"
"ROURKE CHARTIER","","C","27","L","OTT","6","0","0","0","0.00","0","0","0","0","00:04","0.9","10:20","8","0","0","1","$0.75M","$0.75M","$0.75M"
"MAXENCE GUENETTE","","D","22","R","OTT","1","0","0","0","0.00","0","0","0","0","00:00","0.0","08:47","2","-1","0","1","$0.81M","$0.81M","$0.81M"
"JUSTIN KIRKLAND","","L","27","L","ARI","7","0","0","0","0.00","0","0","0","0","00:00","0.1","07:13","5","-3","0","1","$0.75M","$0.75M","$0.75M"
"ALEC REGULA","","D","23","R","BOS","4","0","0","0","0.00","0","0","0","0","01:54","35.6","16:36","2","-3","4","1","$0.83M","$0.87M","$0.89M"
"HAYDEN HODGSON","","R","27","R","L.A","1","0","0","0","0.00","0","0","0","0","00:00","0.0","04:46","0","0","0","1","$0.80M","$0.80M","$0.80M"
"NICK DESIMONE","","D","28","R","CGY","4","0","0","0","0.00","0","0","0","0","00:03","1.0","11:15","4","-4","2","1","$0.75M","$0.76M","$0.76M"
"DENNIS CHOLOWSKI","","D","25","L","NYI","2","0","0","0","0.00","0","0","0","0","02:18","39.0","12:47","0","-1","0","1","$0.75M","$0.76M","$0.76M"
"ADAM BECKMAN","","L","22","L","MIN","9","0","0","0","0.00","0","0","0","0","00:43","12.6","10:41","12","-2","0","1","$0.93M","$0.89M","$0.89M"
"JACKSON CATES","","C","26","L","","5","0","0","0","0.00","0","0","0","0","00:02","0.6","08:59","4","0","0","0","$0.78M","$0.78M","$0.78M"
"SAMPO RANTA","","L","23","L","COL","6","0","0","0","0.00","0","0","0","0","00:00","0.0","07:21","5","0","4","0","$0.93M","$0.93M","$1.21M"
