"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"315","Ryan Graves","N.J","D","78","1326.8833333333","8","13","4","9","21","30.00","135","5.93","5.32","278","174","89","14","33","20","24","12","12","0","0","5","41","18","81","105","117","0","0","-"
"347","Ryan Pulock","NYI","D","82","1438.35","4","17","8","9","21","31.34","110","3.64","4.82","266","164","64","4","2","24","12","6","6","0","0","7","34","19","132","105","96","0","0","-"
"361","Garnet Hathaway","BOS, WSH","R","84","851.23333333333","13","8","3","5","21","63.64","81","16.05","9.5","137","109","90","56","5","9","69","26","22","3","1","32","12","10","262","152","59","2","7","22.22"
"388","Marcus Pettersson","PIT","D","68","1225.2333333333","1","20","13","7","21","37.50","85","1.18","4.71","200","137","62","18","10","23","44","19","17","2","0","8","40","22","120","168","108","0","0","-"
"452","Christian Fischer","ARI","R","80","948.38333333333","11","10","7","3","21","70.00","112","9.82","9.57","187","148","93","41","9","16","18","9","9","0","0","11","27","18","120","85","28","5","28","15.15"
"489","Anthony Cirelli","T.B","C","58","740.9","7","14","10","4","21","60.00","90","7.78","11.71","161","130","115","70","11","19","31","10","8","1","1","16","15","31","31","55","29","291","265","52.34"
"539","Jakob Chychrun","ARI, OTT","D","48","857.11666666667","4","17","5","12","21","46.67","94","4.26","4.22","193","142","56","9","4","12","20","10","10","0","0","4","37","15","49","68","72","0","0","-"
"543","Sam Steel","MIN","C","65","828.06666666667","8","13","5","8","21","56.76","78","10.26","9.28","138","111","102","47","5","16","16","8","8","0","0","4","19","20","45","70","15","266","271","49.53"
"616","Kailer Yamamoto","EDM","R","58","821.9","9","12","5","7","21","52.50","82","10.98","11.99","117","101","97","61","6","7","20","10","10","0","0","13","17","41","75","96","20","2","6","25.00"
"625","Michael Rasmussen","DET","C","56","676.4","7","14","9","5","21","67.74","70","10.00","8.08","125","99","92","52","8","14","41","19","18","1","0","23","7","14","118","96","41","156","156","50.00"
"632","Jesper Boqvist","N.J","C","70","758.43333333333","10","11","4","7","21","63.64","63","15.87","7.61","126","88","85","44","13","14","2","1","1","0","0","7","28","22","49","98","18","66","128","34.02"
"795","Peyton Krebs","BUF","C","74","873.88333333333","7","14","7","7","21","70.00","67","10.45","6.2","125","95","72","32","3","3","48","20","18","2","0","16","24","17","90","89","18","224","270","45.34"
"806","Moritz Seider","DET","D","82","1326.4166666667","3","18","9","9","21","38.18","99","3.03","3.49","194","137","43","4","4","11","30","15","15","0","0","15","34","19","150","77","131","0","0","-"
"2","Ryan Suter","DAL","D","82","1363.85","3","17","7","10","20","36.36","82","3.66","3.92","203","135","54","11","2","13","24","12","12","0","0","6","35","20","69","48","94","0","0","-"
"73","Luke Schenn","TOR, VAN","D","70","1013.9","4","16","10","6","20","40.82","78","5.13","2.64","172","114","31","5","2","7","82","28","21","6","1","10","31","9","292","80","80","0","0","-"
"88","Gustav Nyquist","CBJ, MIN","C, L","51","677.16666666667","8","12","7","5","20","74.07","75","10.67","7.1","124","99","74","32","5","11","12","6","6","0","0","3","16","23","35","33","26","10","15","40.00"
"95","Mike Hoffman","MTL","L","67","834.58333333333","11","9","5","4","20","64.52","99","11.11","9.06","166","130","90","38","6","11","24","12","12","0","0","5","36","19","22","30","19","14","11","56.00"
"112","Nick Leddy","STL","D","78","1448.0333333333","2","18","10","8","20","30.77","73","2.74","3.84","155","110","49","7","2","9","20","10","10","0","0","14","33","40","37","44","81","0","0","-"
"221","Stefan Noesen","CAR","R","78","735","5","15","8","7","20","64.52","91","5.49","13.44","164","143","98","64","3","29","20","7","5","2","0","10","25","27","93","65","18","29","30","49.15"
"249","Teuvo Teravainen","CAR","L","68","824.26666666667","4","16","12","4","20","54.05","90","4.44","7.52","149","122","82","30","4","15","12","6","6","0","0","1","39","31","14","30","15","22","13","62.86"
"299","Connor Clifton","BOS","D","78","1235.35","4","16","8","8","20","34.48","88","4.55","4.97","166","131","54","15","3","10","56","22","18","4","0","19","45","18","185","189","108","0","0","-"
"319","Jason Dickinson","CHI","C","78","1003.0666666667","8","12","7","5","20","62.50","98","8.16","10.43","187","139","105","50","3","15","24","12","12","0","0","12","28","42","107","106","60","298","315","48.61"
"333","Brett Pesce","CAR","D","82","1449.25","2","18","11","7","20","30.77","123","1.63","5.11","300","186","67","10","9","24","33","15","14","1","0","10","19","50","32","108","79","0","0","-"
"337","Seth Jones","CHI","D","72","1309.1333333333","8","12","6","6","20","40.00","119","6.72","5.63","230","164","65","14","5","18","22","10","10","0","0","4","48","36","96","88","95","0","0","-"
"357","Trevor van Riemsdyk","WSH","D","75","1172.2833333333","7","13","5","8","20","32.79","87","8.05","3.44","180","117","47","9","2","9","15","6","5","1","0","8","34","27","18","89","108","0","0","-"
"404","Sam Lafferty","CHI, TOR","C","70","829.75","8","12","7","5","20","76.92","85","9.41","7.89","136","111","84","37","9","10","33","12","9","3","0","15","29","18","117","76","22","184","172","51.69"
"405","Danton Heinen","PIT","L","65","642.25","7","13","8","5","20","80.00","87","8.05","9.16","149","113","87","38","5","12","12","6","6","0","0","4","15","22","76","58","26","2","3","40.00"
"409","Dakota Joshua","VAN","C","79","811.73333333333","9","11","5","6","20","83.33","66","13.64","10.17","99","83","76","54","3","15","58","19","14","4","1","20","9","25","216","104","28","18","18","50.00"
"497","Denis Malgin","COL, TOR","C","65","661.36666666667","13","7","5","2","20","80.00","105","12.38","9.89","185","140","120","46","2","14","8","4","4","0","0","8","23","29","67","76","18","4","6","40.00"
"514","Ryan Lomberg","FLA","L","82","882.03333333333","12","8","5","3","20","52.63","132","9.09","14.45","215","186","120","67","14","17","71","27","23","3","1","22","12","27","145","91","20","14","14","50.00"
"563","Taylor Raddysh","CHI","R","78","1014.2","12","8","3","5","20","64.52","98","12.24","11.63","176","141","107","60","7","10","16","8","8","0","0","9","23","32","77","54","37","9","7","56.25"
"627","Cody Glass","NSH","C","72","842.98333333333","6","14","7","7","20","58.82","93","6.45","9.74","162","126","103","48","4","18","16","8","8","0","0","8","16","30","60","71","30","304","306","49.84"
"675","Fabian Zetterlund","N.J, S.J","L","67","816.83333333333","5","15","11","4","20","62.50","101","4.95","10.32","195","142","106","46","30","14","14","7","7","0","0","9","21","20","51","70","20","7","9","43.75"
"686","Nick Perbix","T.B","D","69","1010.9166666667","5","15","10","5","20","40.82","106","4.72","4.12","196","140","76","9","20","13","20","10","10","0","0","10","28","27","71","149","63","0","0","-"
